Class,Total_Samples,Accuracy_svc,Accuracy_mobilenet,Accuracy_vggish_solo,Accuracy_vggish_tab
Accelerating_and_revving_and_vroom,6,16.66666666666666,44.44444444444444,33.33333333333333,50.0
Accordion,9,77.77777777777779,84.61538461538461,80.0,100.0
Acoustic_guitar,1,0.0,100.0,0.0,0.0
Bark,14,85.71428571428571,78.57142857142857,100.0,100.0
Bass_drum,14,85.71428571428571,100.0,60.0,100.0
Bass_guitar,13,84.61538461538461,93.75,91.66666666666666,100.0
Bathtub_(filling_or_washing),11,18.18181818181818,33.33333333333333,72.72727272727273,83.33333333333334
Bicycle_bell,13,84.61538461538461,80.0,83.33333333333334,100.0
Burping_and_eructation,15,80.0,71.42857142857143,60.0,100.0
Bus,14,71.42857142857143,75.0,64.28571428571429,80.0
Buzz,10,30.0,62.5,66.66666666666666,87.5
Car_passing_by,12,66.66666666666666,46.666666666666664,75.0,80.0
Chewing_and_mastication,15,20.0,53.333333333333336,30.76923076923077,84.61538461538461
Child_speech_and_kid_speaking,15,86.66666666666667,100.0,33.33333333333333,100.0
Chink_and_clink,8,37.5,80.0,80.0,100.0
Chirp_and_tweet,13,53.84615384615385,81.81818181818183,88.88888888888889,100.0
Church_bell,15,66.66666666666666,83.33333333333334,73.33333333333333,100.0
Clapping,10,80.0,100.0,33.33333333333333,100.0
Computer_keyboard,15,26.66666666666666,54.54545454545454,84.61538461538461,94.44444444444444
Crackle,15,66.66666666666666,75.0,58.333333333333336,88.88888888888889
Cricket,14,14.28571428571428,66.66666666666666,41.66666666666667,100.0
Crowd,1,0.0,100.0,100.0,0.0
Cupboard_open_or_close,13,76.92307692307693,88.88888888888889,25.0,100.0
Cutlery_and_silverware,7,0.0,100.0,0.0,0.0
Drawer_open_or_close,13,53.84615384615385,72.22222222222221,100.0,100.0
Drip,1,0.0,0.0,0.0,0.0
Electric_guitar,10,90.0,92.30769230769232,33.33333333333333,100.0
Fart,15,73.33333333333333,86.66666666666667,66.66666666666666,100.0
Female_singing,13,46.15384615384615,92.85714285714286,90.0,100.0
Female_speech_and_woman_speaking,9,55.55555555555556,100.0,100.0,66.66666666666666
Fill_(with_liquid),8,37.5,40.0,62.5,77.77777777777779
Finger_snapping,15,100.0,100.0,50.0,80.0
Frying_(food),12,66.66666666666666,92.85714285714286,75.0,100.0
Gasp,9,44.44444444444444,80.0,75.0,75.0
Glockenspiel,11,90.90909090909092,100.0,81.81818181818183,100.0
Gong,15,86.66666666666667,75.0,90.0,85.71428571428571
Gurgling,10,60.0,72.22222222222221,66.66666666666666,100.0
Harmonica,15,73.33333333333333,94.11764705882352,92.30769230769232,100.0
Hi-hat,14,92.85714285714286,85.71428571428571,100.0,100.0
Hiss,15,13.33333333333333,66.66666666666666,58.333333333333336,100.0
Keys_jangling,15,73.33333333333333,75.0,50.0,66.66666666666666
Knock,14,92.85714285714286,92.30769230769232,66.66666666666666,100.0
Male_singing,13,84.61538461538461,100.0,85.71428571428571,100.0
Male_speech_and_man_speaking,12,41.66666666666667,95.23809523809524,60.0,100.0
Marimba_and_xylophone,15,40.0,100.0,37.5,100.0
Mechanical_fan,10,70.0,75.0,40.0,87.5
Meow,12,33.33333333333333,75.0,60.0,75.0
Microwave_oven,14,64.28571428571429,58.333333333333336,22.22222222222222,83.33333333333334
Motorcycle,12,58.333333333333336,66.66666666666666,50.0,87.5
Printer,15,40.0,66.66666666666666,55.55555555555556,88.88888888888889
Purr,10,40.0,66.66666666666666,80.0,100.0
Race_car_and_auto_racing,5,40.0,37.5,60.0,100.0
Raindrop,4,50.0,14.28571428571428,0.0,0.0
Run,13,38.46153846153846,53.84615384615385,66.66666666666666,100.0
Scissors,15,26.66666666666666,63.1578947368421,36.36363636363636,81.81818181818183
Screaming,10,40.0,100.0,33.33333333333333,100.0
Shatter,15,33.33333333333333,73.68421052631578,75.0,85.71428571428571
Sigh,11,36.36363636363636,93.33333333333333,71.42857142857143,100.0
Skateboard,15,80.0,80.0,100.0,100.0
Slam,8,37.5,71.42857142857143,0.0,50.0
Sneeze,12,75.0,75.0,25.0,71.42857142857143
Squeak,4,0.0,100.0,0.0,66.66666666666666
Stream,14,57.14285714285714,78.57142857142857,78.57142857142857,80.0
Tap,13,46.15384615384615,76.92307692307693,0.0,60.0
Tick-tock,14,42.85714285714285,100.0,78.57142857142857,83.33333333333334
Toilet_flush,13,76.92307692307693,54.54545454545454,92.30769230769232,100.0
Traffic_noise_and_roadway_noise,11,54.54545454545454,25.0,63.63636363636363,100.0
Trickle_and_dribble,7,100.0,0.0,60.0,50.0
Walk_and_footsteps,8,0.0,66.66666666666666,33.33333333333333,80.0
Waves_and_surf,14,35.71428571428571,58.82352941176471,64.28571428571429,90.0
Whispering,13,61.53846153846154,86.66666666666667,42.85714285714285,100.0
Writing,15,46.666666666666664,61.53846153846154,45.454545454545446,85.71428571428571
Yell,5,60.0,57.14285714285714,0.0,50.0
Zipper_(clothing),15,13.33333333333333,36.36363636363636,81.81818181818183,100.0
