Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
DummyClassifier,0.01756440281030445,0.013513513513513514,0.0006063660348781742,0.04430389404296875,Success
BernoulliNB,,,,0.14494991302490234,"Error: could not convert string to float: '(1, 8, 150)'"
GaussianNB,,,,0.12101459503173828,"Error: could not convert string to float: '(1, 8, 150)'"
NearestCentroid,,,,0.13228058815002441,"Error: could not convert string to float: '(1, 8, 150)'"
Perceptron,,,,0.13301801681518555,"Error: could not convert string to float: '(1, 8, 150)'"
LogisticRegression,,,,0.11669158935546875,"Error: could not convert string to float: '(1, 8, 150)'"
RidgeClassifier,,,,0.12723064422607422,"Error: could not convert string to float: '(1, 8, 150)'"
RidgeClassifierCV,,,,0.13052105903625488,"Error: could not convert string to float: '(1, 8, 150)'"
PassiveAggressiveClassifier,,,,0.1347041130065918,"Error: could not convert string to float: '(1, 8, 150)'"
SGDClassifier,,,,0.12897443771362305,"Error: could not convert string to float: '(1, 8, 150)'"
LinearDiscriminantAnalysis,,,,0.12390565872192383,"Error: could not convert string to float: '(1, 8, 150)'"
LinearSVC,,,,0.1246805191040039,"Error: could not convert string to float: '(1, 8, 150)'"
QuadraticDiscriminantAnalysis,,,,0.12070798873901367,"Error: could not convert string to float: '(1, 8, 150)'"
DecisionTreeClassifier,,,,0.12501287460327148,"Error: could not convert string to float: '(1, 8, 150)'"
ExtraTreeClassifier,,,,0.12334012985229492,"Error: could not convert string to float: '(1, 8, 150)'"
KNeighborsClassifier,,,,0.12666010856628418,"Error: could not convert string to float: '(1, 8, 150)'"
RandomForestClassifier,,,,0.12059426307678223,"Error: could not convert string to float: '(1, 8, 150)'"
ExtraTreesClassifier,,,,0.11313033103942871,"Error: could not convert string to float: '(1, 8, 150)'"
AdaBoostClassifier,,,,0.17491459846496582,"Error: could not convert string to float: '(1, 8, 150)'"
BaggingClassifier,,,,2.441227674484253,"Error: could not convert string to float: '(1, 8, 150)'"
GradientBoostingClassifier,,,,0.12726902961730957,"Error: could not convert string to float: '(1, 8, 150)'"
CalibratedClassifierCV,,,,1.5864734649658203,"Error: could not convert string to float: '(1, 8, 150)'"
