Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
RandomForestClassifier,0.12646370023419204,0.10506025506025506,0.10174522073236551,2.740356683731079,Success
ExtraTreesClassifier,0.12060889929742388,0.10303109053109054,0.10064372556137055,0.7454390525817871,Success
NearestCentroid,0.10772833723653395,0.09850003600003601,0.07868013745002053,0.07107234001159668,Success
GaussianNB,0.10187353629976581,0.0912067662067662,0.07325409569050936,0.4129042625427246,Success
CalibratedClassifierCV,0.09133489461358314,0.07849177849177848,0.06084218978551572,108.70863127708435,Success
PassiveAggressiveClassifier,0.08548009367681499,0.07399469899469899,0.08187368463077478,19.177035808563232,Success
LogisticRegression,0.08079625292740047,0.07057754557754557,0.08132743963563341,42.820491552352905,Success
RidgeClassifier,0.08079625292740047,0.06905204405204404,0.06888901798357677,0.2041492462158203,Success
RidgeClassifierCV,0.08079625292740047,0.06905204405204404,0.06888901798357677,1.3124384880065918,Success
LinearDiscriminantAnalysis,0.07494145199063232,0.06507126507126507,0.07128665156277393,2.211075782775879,Success
