Class,Accuracy_deit,Accuracy_mobilenet,Difference
Waves_and_surf,0.6470588235294118,0.5882352941176471,5.882352941176472
Drip,0.0,0.0,0.0
Trickle_and_dribble,0.0,0.0,0.0
Raindrop,0.0,0.1428571428571428,-14.28571428571428
Glockenspiel,0.8181818181818182,1.0,-18.181818181818176
Traffic_noise_and_roadway_noise,0.0,0.25,-25.0
Car_passing_by,0.2,0.4666666666666667,-26.666666666666668
Bathtub_(filling_or_washing),0.0,0.3333333333333333,-33.33333333333333
Church_bell,0.5,0.8333333333333334,-33.333333333333336
Zipper_(clothing),0.0,0.3636363636363636,-36.36363636363636
Race_car_and_auto_racing,0.0,0.375,-37.5
Run,0.15384615384615385,0.5384615384615384,-38.46153846153846
Chewing_and_mastication,0.13333333333333333,0.5333333333333333,-40.0
Fill_(with_liquid),0.0,0.4,-40.0
Accelerating_and_revving_and_vroom,0.0,0.4444444444444444,-44.44444444444444
Computer_keyboard,0.09090909090909091,0.5454545454545454,-45.454545454545446
Mechanical_fan,0.25,0.75,-50.0
Motorcycle,0.16666666666666666,0.6666666666666666,-50.0
Scissors,0.10526315789473684,0.631578947368421,-52.63157894736842
Skateboard,0.26666666666666666,0.8,-53.33333333333334
Toilet_flush,0.0,0.5454545454545454,-54.54545454545454
Finger_snapping,0.4444444444444444,1.0,-55.55555555555556
Gong,0.1875,0.75,-56.25
Hi-hat,0.2857142857142857,0.8571428571428571,-57.14285714285714
Yell,0.0,0.5714285714285714,-57.14285714285714
Bass_drum,0.4166666666666667,1.0,-58.33333333333333
Hiss,0.08333333333333333,0.6666666666666666,-58.33333333333333
Microwave_oven,0.0,0.5833333333333334,-58.333333333333336
Printer,0.06666666666666667,0.6666666666666666,-60.0
Fart,0.26666666666666666,0.8666666666666667,-60.00000000000001
Drawer_open_or_close,0.1111111111111111,0.7222222222222222,-61.111111111111114
Writing,0.0,0.6153846153846154,-61.53846153846154
Knock,0.3076923076923077,0.9230769230769232,-61.538461538461554
Buzz,0.0,0.625,-62.5
Stream,0.14285714285714285,0.7857142857142857,-64.28571428571428
Walk_and_footsteps,0.0,0.6666666666666666,-66.66666666666666
Cricket,0.0,0.6666666666666666,-66.66666666666666
Purr,0.0,0.6666666666666666,-66.66666666666666
Meow,0.08333333333333333,0.75,-66.66666666666666
Bus,0.0625,0.75,-68.75
Tap,0.07692307692307693,0.7692307692307693,-69.23076923076923
Keys_jangling,0.05,0.75,-70.0
Slam,0.0,0.7142857142857143,-71.42857142857143
Burping_and_eructation,0.0,0.7142857142857143,-71.42857142857143
Gurgling,0.0,0.7222222222222222,-72.22222222222221
Bicycle_bell,0.06666666666666667,0.8,-73.33333333333334
Shatter,0.0,0.7368421052631579,-73.68421052631578
Crackle,0.0,0.75,-75.0
Sneeze,0.0,0.75,-75.0
Bark,0.0,0.7857142857142857,-78.57142857142857
Female_singing,0.14285714285714285,0.9285714285714286,-78.57142857142858
Gasp,0.0,0.8,-80.0
Chink_and_clink,0.0,0.8,-80.0
Child_speech_and_kid_speaking,0.2,1.0,-80.0
Bass_guitar,0.125,0.9375,-81.25
Chirp_and_tweet,0.0,0.8181818181818182,-81.81818181818183
Harmonica,0.11764705882352941,0.9411764705882352,-82.35294117647058
Accordion,0.0,0.8461538461538461,-84.61538461538461
Frying_(food),0.07142857142857142,0.9285714285714286,-85.71428571428572
Sigh,0.06666666666666667,0.9333333333333332,-86.66666666666666
Whispering,0.0,0.8666666666666667,-86.66666666666667
Cupboard_open_or_close,0.0,0.8888888888888888,-88.88888888888889
Female_speech_and_woman_speaking,0.1111111111111111,1.0,-88.88888888888889
Male_singing,0.09090909090909091,1.0,-90.9090909090909
Clapping,0.09090909090909091,1.0,-90.9090909090909
Electric_guitar,0.0,0.9230769230769232,-92.30769230769232
Marimba_and_xylophone,0.0625,1.0,-93.75
Male_speech_and_man_speaking,0.0,0.9523809523809524,-95.23809523809524
Crowd,0.0,1.0,-100.0
Cutlery_and_silverware,0.0,1.0,-100.0
Acoustic_guitar,0.0,1.0,-100.0
Screaming,0.0,1.0,-100.0
Squeak,0.0,1.0,-100.0
Tick-tock,0.0,1.0,-100.0
