Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Glockenspiel,11,9,0.8181818181818182,0.32142857142857145,0.8181818181818182,0.46153846153846156,9,19,2
Waves_and_surf,17,11,0.6470588235294118,0.12941176470588237,0.6470588235294118,0.21568627450980393,11,74,6
Church_bell,12,6,0.5,0.14285714285714285,0.5,0.22222222222222224,6,36,6
Finger_snapping,9,4,0.4444444444444444,0.14814814814814814,0.4444444444444444,0.2222222222222222,4,23,5
Bass_drum,12,5,0.4166666666666667,0.21739130434782608,0.4166666666666667,0.2857142857142857,5,18,7
Knock,13,4,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.14035087719298245,4,40,9
Hi-hat,7,2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,5,5
Skateboard,15,4,0.26666666666666666,0.09302325581395349,0.26666666666666666,0.13793103448275862,4,39,11
Fart,15,4,0.26666666666666666,0.03571428571428571,0.26666666666666666,0.06299212598425197,4,108,11
Mechanical_fan,8,2,0.25,0.2857142857142857,0.25,0.26666666666666666,2,5,6
Car_passing_by,15,3,0.2,0.13636363636363635,0.2,0.16216216216216214,3,19,12
Child_speech_and_kid_speaking,10,2,0.2,0.046511627906976744,0.2,0.07547169811320754,2,41,8
Gong,16,3,0.1875,0.15789473684210525,0.1875,0.17142857142857143,3,16,13
Motorcycle,12,2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222,2,4,10
Run,13,2,0.15384615384615385,0.10526315789473684,0.15384615384615385,0.125,2,17,11
Stream,14,2,0.14285714285714285,0.1,0.14285714285714285,0.11764705882352941,2,18,12
Female_singing,14,2,0.14285714285714285,0.25,0.14285714285714285,0.18181818181818182,2,6,12
Chewing_and_mastication,15,2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.08888888888888888,2,28,13
Bass_guitar,16,2,0.125,0.3333333333333333,0.125,0.18181818181818182,2,4,14
Harmonica,17,2,0.11764705882352941,0.1111111111111111,0.11764705882352941,0.11428571428571428,2,16,15
Female_speech_and_woman_speaking,9,1,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.08695652173913043,1,13,8
Drawer_open_or_close,18,2,0.1111111111111111,0.4,0.1111111111111111,0.1739130434782609,2,3,16
Scissors,19,2,0.10526315789473684,0.2857142857142857,0.10526315789473684,0.15384615384615385,2,5,17
Male_singing,11,1,0.09090909090909091,0.037037037037037035,0.09090909090909091,0.05263157894736842,1,26,10
Clapping,11,1,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.08333333333333334,1,12,10
Computer_keyboard,11,1,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.11764705882352942,1,5,10
Hiss,12,1,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.13333333333333333,1,2,11
Meow,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1,11,11
Tap,13,1,0.07692307692307693,0.1,0.07692307692307693,0.08695652173913043,1,9,12
Frying_(food),14,1,0.07142857142857142,1.0,0.07142857142857142,0.13333333333333333,1,0,13
Sigh,15,1,0.06666666666666667,0.07142857142857142,0.06666666666666667,0.0689655172413793,1,13,14
Bicycle_bell,15,1,0.06666666666666667,0.09090909090909091,0.06666666666666667,0.07692307692307691,1,10,14
Printer,15,1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,1,14,14
Bus,16,1,0.0625,0.03333333333333333,0.0625,0.04347826086956522,1,29,15
Marimba_and_xylophone,16,1,0.0625,0.16666666666666666,0.0625,0.09090909090909091,1,5,15
Keys_jangling,20,1,0.05,0.05,0.05,0.05000000000000001,1,19,19
Screaming,11,0,0.0,0.0,0.0,0.0,0,4,11
Sneeze,12,0,0.0,0.0,0.0,0.0,0,0,12
Shatter,19,0,0.0,0.0,0.0,0.0,0,1,19
Slam,7,0,0.0,0.0,0.0,0.0,0,0,7
Race_car_and_auto_racing,8,0,0.0,0.0,0.0,0.0,0,0,8
Squeak,3,0,0.0,0.0,0.0,0.0,0,0,3
Tick-tock,9,0,0.0,0.0,0.0,0.0,0,0,9
Toilet_flush,11,0,0.0,0.0,0.0,0.0,0,3,11
Traffic_noise_and_roadway_noise,12,0,0.0,0.0,0.0,0.0,0,0,12
Trickle_and_dribble,2,0,0.0,0.0,0.0,0.0,0,0,2
Walk_and_footsteps,6,0,0.0,0.0,0.0,0.0,0,0,6
Whispering,15,0,0.0,0.0,0.0,0.0,0,2,15
Writing,13,0,0.0,0.0,0.0,0.0,0,0,13
Yell,7,0,0.0,0.0,0.0,0.0,0,0,7
Raindrop,7,0,0.0,0.0,0.0,0.0,0,0,7
Accelerating_and_revving_and_vroom,9,0,0.0,0.0,0.0,0.0,0,0,9
Purr,6,0,0.0,0.0,0.0,0.0,0,12,6
Microwave_oven,12,0,0.0,0.0,0.0,0.0,0,1,12
Acoustic_guitar,1,0,0.0,0.0,0.0,0.0,0,0,1
Bark,14,0,0.0,0.0,0.0,0.0,0,4,14
Bathtub_(filling_or_washing),12,0,0.0,0.0,0.0,0.0,0,2,12
