Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Accelerating_and_revving_and_vroom,6,1,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5
Accordion,9,8,0.8888888888888888,0.8,0.8888888888888888,0.8421052631578948,8,2,1
Acoustic_guitar,1,0,0.0,0.0,0.0,0.0,0,0,1
Bark,14,11,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.8461538461538461,11,1,3
Bass_drum,14,11,0.7857142857142857,0.6111111111111112,0.7857142857142857,0.6875000000000001,11,7,3
Bass_guitar,13,10,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.8,10,2,3
Bathtub_(filling_or_washing),11,2,0.18181818181818182,0.4,0.18181818181818182,0.25000000000000006,2,3,9
Bicycle_bell,13,12,0.9230769230769231,0.75,0.9230769230769231,0.8275862068965517,12,4,1
Burping_and_eructation,15,11,0.7333333333333333,0.6875,0.7333333333333333,0.7096774193548386,11,5,4
Bus,14,9,0.6428571428571429,0.45,0.6428571428571429,0.5294117647058824,9,11,5
Buzz,10,2,0.2,0.5,0.2,0.28571428571428575,2,2,8
Car_passing_by,12,8,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6153846153846153,8,6,4
Chewing_and_mastication,15,2,0.13333333333333333,0.25,0.13333333333333333,0.1739130434782609,2,6,13
Child_speech_and_kid_speaking,15,12,0.8,0.7058823529411765,0.8,0.7500000000000001,12,5,3
Chink_and_clink,8,2,0.25,0.4,0.25,0.3076923076923077,2,3,6
Chirp_and_tweet,13,6,0.46153846153846156,0.5,0.46153846153846156,0.48000000000000004,6,6,7
Church_bell,15,8,0.5333333333333333,0.6153846153846154,0.5333333333333333,0.5714285714285715,8,5,7
Clapping,10,7,0.7,0.875,0.7,0.7777777777777777,7,1,3
Computer_keyboard,15,8,0.5333333333333333,0.5,0.5333333333333333,0.5161290322580646,8,8,7
Crackle,15,9,0.6,0.45,0.6,0.5142857142857143,9,11,6
Cricket,14,3,0.21428571428571427,0.25,0.21428571428571427,0.23076923076923075,3,9,11
Crowd,1,0,0.0,0.0,0.0,0.0,0,0,1
Cupboard_open_or_close,13,7,0.5384615384615384,0.5833333333333334,0.5384615384615384,0.5599999999999999,7,5,6
Cutlery_and_silverware,7,0,0.0,0.0,0.0,0.0,0,2,7
Drawer_open_or_close,13,3,0.23076923076923078,0.3,0.23076923076923078,0.2608695652173913,3,7,10
Drip,1,0,0.0,0.0,0.0,0.0,0,0,1
Electric_guitar,10,9,0.9,0.6,0.9,0.7200000000000001,9,6,1
Fart,15,11,0.7333333333333333,0.5,0.7333333333333333,0.5945945945945945,11,11,4
Female_singing,13,9,0.6923076923076923,0.6428571428571429,0.6923076923076923,0.6666666666666666,9,5,4
Female_speech_and_woman_speaking,9,4,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5
Fill_(with_liquid),8,3,0.375,0.75,0.375,0.5,3,1,5
Finger_snapping,15,15,1.0,0.8333333333333334,1.0,0.9090909090909091,15,3,0
Frying_(food),12,7,0.5833333333333334,0.5,0.5833333333333334,0.5384615384615384,7,7,5
Gasp,9,4,0.4444444444444444,1.0,0.4444444444444444,0.6153846153846153,4,0,5
Glockenspiel,11,10,0.9090909090909091,0.7692307692307693,0.9090909090909091,0.8333333333333333,10,3,1
Gong,15,10,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.7692307692307692,10,1,5
Gurgling,10,6,0.6,0.5,0.6,0.5454545454545454,6,6,4
Harmonica,15,12,0.8,0.8571428571428571,0.8,0.8275862068965518,12,2,3
