Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Tick-tock,9,9,1.0,1.0,1.0,1.0,9,0,0
Clapping,11,11,1.0,1.0,1.0,1.0,11,0,0
Acoustic_guitar,1,1,1.0,0.5,1.0,0.6666666666666666,1,1,0
Squeak,3,3,1.0,0.75,1.0,0.8571428571428571,3,1,0
Bass_drum,12,12,1.0,1.0,1.0,1.0,12,0,0
Screaming,11,11,1.0,1.0,1.0,1.0,11,0,0
Marimba_and_xylophone,16,16,1.0,1.0,1.0,1.0,16,0,0
Male_singing,11,11,1.0,0.9166666666666666,1.0,0.9565217391304348,11,1,0
Glockenspiel,11,11,1.0,1.0,1.0,1.0,11,0,0
Finger_snapping,9,9,1.0,1.0,1.0,1.0,9,0,0
Female_speech_and_woman_speaking,9,9,1.0,1.0,1.0,1.0,9,0,0
Cutlery_and_silverware,7,7,1.0,1.0,1.0,1.0,7,0,0
Child_speech_and_kid_speaking,10,10,1.0,1.0,1.0,1.0,10,0,0
Crowd,1,1,1.0,1.0,1.0,1.0,1,0,0
Male_speech_and_man_speaking,21,20,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,20,1,1
Harmonica,17,16,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,16,0,1
Bass_guitar,16,15,0.9375,0.9375,0.9375,0.9375,15,1,1
Sigh,15,14,0.9333333333333333,1.0,0.9333333333333333,0.9655172413793104,14,0,1
Frying_(food),14,13,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,13,1,1
Female_singing,14,13,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963,13,0,1
Knock,13,12,0.9230769230769231,1.0,0.9230769230769231,0.9600000000000001,12,0,1
Electric_guitar,13,12,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1
Cupboard_open_or_close,9,8,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,8,0,1
Fart,15,13,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,13,0,2
Whispering,15,13,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,13,0,2
Hi-hat,7,6,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,1
Accordion,13,11,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,11,0,2
Church_bell,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2
Chirp_and_tweet,11,9,0.8181818181818182,0.9,0.8181818181818182,0.8571428571428572,9,1,2
Gasp,5,4,0.8,1.0,0.8,0.888888888888889,4,0,1
Skateboard,15,12,0.8,1.0,0.8,0.888888888888889,12,0,3
Chink_and_clink,5,4,0.8,1.0,0.8,0.888888888888889,4,0,1
Bicycle_bell,15,12,0.8,0.9230769230769231,0.8,0.8571428571428571,12,1,3
Stream,14,11,0.7857142857142857,1.0,0.7857142857142857,0.88,11,0,3
Bark,14,11,0.7857142857142857,1.0,0.7857142857142857,0.88,11,0,3
Tap,13,10,0.7692307692307693,0.9090909090909091,0.7692307692307693,0.8333333333333333,10,1,3
Meow,12,9,0.75,0.9,0.75,0.8181818181818182,9,1,3
Sneeze,12,9,0.75,0.9,0.75,0.8181818181818182,9,1,3
Crackle,12,9,0.75,1.0,0.75,0.8571428571428571,9,0,3
Mechanical_fan,8,6,0.75,0.8571428571428571,0.75,0.7999999999999999,6,1,2
Keys_jangling,20,15,0.75,1.0,0.75,0.8571428571428571,15,0,5
Bus,16,12,0.75,1.0,0.75,0.8571428571428571,12,0,4
Gong,16,12,0.75,1.0,0.75,0.8571428571428571,12,0,4
Shatter,19,14,0.7368421052631579,1.0,0.7368421052631579,0.8484848484848484,14,0,5
Drawer_open_or_close,18,13,0.7222222222222222,1.0,0.7222222222222222,0.8387096774193548,13,0,5
Gurgling,18,13,0.7222222222222222,0.8666666666666667,0.7222222222222222,0.7878787878787877,13,2,5
Slam,7,5,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333,5,0,2
Burping_and_eructation,14,10,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333,10,0,4
Cricket,15,10,0.6666666666666666,1.0,0.6666666666666666,0.8,10,0,5
Hiss,12,8,0.6666666666666666,1.0,0.6666666666666666,0.8,8,0,4
Motorcycle,12,8,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,8,2,4
Printer,15,10,0.6666666666666666,1.0,0.6666666666666666,0.8,10,0,5
Purr,6,4,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,4,1,2
Walk_and_footsteps,6,4,0.6666666666666666,1.0,0.6666666666666666,0.8,4,0,2
Scissors,19,12,0.631578947368421,0.9230769230769231,0.631578947368421,0.7499999999999999,12,1,7
Buzz,8,5,0.625,1.0,0.625,0.7692307692307693,5,0,3
Writing,13,8,0.6153846153846154,0.8888888888888888,0.6153846153846154,0.7272727272727274,8,1,5
Waves_and_surf,17,10,0.5882352941176471,1.0,0.5882352941176471,0.7407407407407407,10,0,7
Microwave_oven,12,7,0.5833333333333334,0.875,0.5833333333333334,0.7000000000000001,7,1,5
Yell,7,4,0.5714285714285714,0.8,0.5714285714285714,0.6666666666666666,4,1,3
Computer_keyboard,11,6,0.5454545454545454,1.0,0.5454545454545454,0.7058823529411764,6,0,5
Toilet_flush,11,6,0.5454545454545454,0.8571428571428571,0.5454545454545454,0.6666666666666665,6,1,5
Run,13,7,0.5384615384615384,1.0,0.5384615384615384,0.7000000000000001,7,0,6
Chewing_and_mastication,15,8,0.5333333333333333,0.8888888888888888,0.5333333333333333,0.6666666666666667,8,1,7
Car_passing_by,15,7,0.4666666666666667,1.0,0.4666666666666667,0.6363636363636364,7,0,8
Accelerating_and_revving_and_vroom,9,4,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5
Fill_(with_liquid),5,2,0.4,1.0,0.4,0.5714285714285715,2,0,3
Race_car_and_auto_racing,8,3,0.375,1.0,0.375,0.5454545454545454,3,0,5
Zipper_(clothing),11,4,0.36363636363636365,0.8,0.36363636363636365,0.5000000000000001,4,1,7
Bathtub_(filling_or_washing),12,4,0.3333333333333333,1.0,0.3333333333333333,0.5,4,0,8
Traffic_noise_and_roadway_noise,12,3,0.25,1.0,0.25,0.4,3,0,9
Raindrop,7,1,0.14285714285714285,1.0,0.14285714285714285,0.25,1,0,6
Trickle_and_dribble,2,0,0.0,0.0,0.0,0.0,0,0,2
Drip,1,0,0.0,0.0,0.0,0.0,0,3,1
