Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Accelerating_and_revving_and_vroom,6,1,0.16666666666666666,0.5,0.16666666666666666,0.25,1,1,5
Accordion,9,6,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765,6,2,3
Acoustic_guitar,1,0,0.0,0.0,0.0,0.0,0,0,1
Bark,14,9,0.6428571428571429,0.75,0.6428571428571429,0.6923076923076924,9,3,5
Bass_drum,14,10,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,10,4,4
Bass_guitar,13,11,0.8461538461538461,0.6875,0.8461538461538461,0.7586206896551724,11,5,2
Bathtub_(filling_or_washing),11,2,0.18181818181818182,0.5,0.18181818181818182,0.26666666666666666,2,2,9
Bicycle_bell,13,12,0.9230769230769231,0.6666666666666666,0.9230769230769231,0.7741935483870968,12,6,1
Burping_and_eructation,15,6,0.4,0.3333333333333333,0.4,0.3636363636363636,6,12,9
Bus,14,10,0.7142857142857143,0.5882352941176471,0.7142857142857143,0.6451612903225806,10,7,4
Buzz,10,3,0.3,0.3333333333333333,0.3,0.3157894736842105,3,6,7
Car_passing_by,12,7,0.5833333333333334,0.3888888888888889,0.5833333333333334,0.4666666666666666,7,11,5
Chewing_and_mastication,15,2,0.13333333333333333,0.14285714285714285,0.13333333333333333,0.1379310344827586,2,12,13
Child_speech_and_kid_speaking,15,12,0.8,0.6,0.8,0.6857142857142857,12,8,3
Chink_and_clink,8,1,0.125,1.0,0.125,0.2222222222222222,1,0,7
Chirp_and_tweet,13,6,0.46153846153846156,0.5,0.46153846153846156,0.48000000000000004,6,6,7
Church_bell,15,11,0.7333333333333333,0.6875,0.7333333333333333,0.7096774193548386,11,5,4
Clapping,10,4,0.4,0.4444444444444444,0.4,0.4210526315789474,4,5,6
Computer_keyboard,15,5,0.3333333333333333,0.35714285714285715,0.3333333333333333,0.3448275862068965,5,9,10
Crackle,15,6,0.4,0.4,0.4,0.4000000000000001,6,9,9
Cricket,14,5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,5,9,9
Crowd,1,0,0.0,0.0,0.0,0.0,0,1,1
Cupboard_open_or_close,13,9,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,9,4,4
Cutlery_and_silverware,7,0,0.0,0.0,0.0,0.0,0,1,7
Drawer_open_or_close,13,5,0.38461538461538464,0.23809523809523808,0.38461538461538464,0.2941176470588235,5,16,8
Drip,1,0,0.0,0.0,0.0,0.0,0,0,1
Electric_guitar,10,9,0.9,0.6,0.9,0.7200000000000001,9,6,1
