Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Harmonica,14,14,1.0,1.0,1.0,1.0,14,0,0
Male_speech_and_man_speaking,3,3,1.0,1.0,1.0,1.0,3,0,0
Female_singing,11,11,1.0,0.9166666666666666,1.0,0.9565217391304348,11,1,0
Frying_(food),12,12,1.0,0.8571428571428571,1.0,0.923076923076923,12,2,0
Glockenspiel,10,10,1.0,1.0,1.0,1.0,10,0,0
Gurgling,3,3,1.0,1.0,1.0,1.0,3,0,0
Accordion,6,6,1.0,1.0,1.0,1.0,6,0,0
Hi-hat,3,3,1.0,1.0,1.0,1.0,3,0,0
Hiss,15,15,1.0,0.7894736842105263,1.0,0.8823529411764706,15,4,0
Knock,6,6,1.0,0.8571428571428571,1.0,0.923076923076923,6,1,0
Male_singing,6,6,1.0,0.8571428571428571,1.0,0.923076923076923,6,1,0
Marimba_and_xylophone,9,9,1.0,1.0,1.0,1.0,9,0,0
Electric_guitar,7,7,1.0,1.0,1.0,1.0,7,0,0
Purr,14,14,1.0,0.9333333333333333,1.0,0.9655172413793104,14,1,0
Race_car_and_auto_racing,1,1,1.0,1.0,1.0,1.0,1,0,0
Run,15,15,1.0,0.8333333333333334,1.0,0.9090909090909091,15,3,0
Screaming,6,6,1.0,0.8571428571428571,1.0,0.923076923076923,6,1,0
Sigh,8,8,1.0,0.8888888888888888,1.0,0.9411764705882353,8,1,0
Skateboard,8,8,1.0,1.0,1.0,1.0,8,0,0
Toilet_flush,10,10,1.0,1.0,1.0,1.0,10,0,0
Traffic_noise_and_roadway_noise,7,7,1.0,0.5833333333333334,1.0,0.7368421052631579,7,5,0
Whispering,3,3,1.0,0.75,1.0,0.8571428571428571,3,1,0
Fart,9,9,1.0,1.0,1.0,1.0,9,0,0
Zipper_(clothing),12,12,1.0,1.0,1.0,1.0,12,0,0
Chirp_and_tweet,6,6,1.0,0.8571428571428571,1.0,0.923076923076923,6,1,0
Clapping,4,4,1.0,1.0,1.0,1.0,4,0,0
Drawer_open_or_close,10,10,1.0,0.8333333333333334,1.0,0.9090909090909091,10,2,0
Child_speech_and_kid_speaking,5,5,1.0,1.0,1.0,1.0,5,0,0
Chink_and_clink,6,6,1.0,1.0,1.0,1.0,6,0,0
Bass_guitar,14,14,1.0,0.9333333333333333,1.0,0.9655172413793104,14,1,0
Burping_and_eructation,5,5,1.0,1.0,1.0,1.0,5,0,0
Church_bell,13,13,1.0,1.0,1.0,1.0,13,0,0
Bicycle_bell,7,7,1.0,1.0,1.0,1.0,7,0,0
Cricket,7,7,1.0,1.0,1.0,1.0,7,0,0
Bass_drum,4,4,1.0,1.0,1.0,1.0,4,0,0
Bark,9,9,1.0,1.0,1.0,1.0,9,0,0
Cupboard_open_or_close,5,5,1.0,1.0,1.0,1.0,5,0,0
Computer_keyboard,18,17,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,17,1,1
Waves_and_surf,20,18,0.9,0.9473684210526315,0.9,0.9230769230769231,18,1,2
Printer,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,1,1
Crackle,18,16,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,16,0,2
Buzz,8,7,0.875,1.0,0.875,0.9333333333333333,7,0,1
Motorcycle,16,14,0.875,1.0,0.875,0.9333333333333333,14,0,2
Mechanical_fan,8,7,0.875,0.6363636363636364,0.875,0.7368421052631579,7,4,1
Gong,7,6,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,1
Shatter,7,6,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75,6,3,1
Writing,7,6,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,6,0,1
Chewing_and_mastication,13,11,0.8461538461538461,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2
Bathtub_(filling_or_washing),12,10,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,10,0,2
Tick-tock,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2
Microwave_oven,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2
Scissors,11,9,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,2,2
Bus,15,12,0.8,0.8,0.8,0.8000000000000002,12,3,3
Car_passing_by,15,12,0.8,1.0,0.8,0.888888888888889,12,0,3
Stream,15,12,0.8,0.8,0.8,0.8000000000000002,12,3,3
Finger_snapping,5,4,0.8,1.0,0.8,0.888888888888889,4,0,1
Walk_and_footsteps,5,4,0.8,1.0,0.8,0.888888888888889,4,0,1
Fill_(with_liquid),9,7,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001,7,0,2
Meow,8,6,0.75,1.0,0.75,0.8571428571428571,6,0,2
Gasp,4,3,0.75,0.75,0.75,0.75,3,1,1
Sneeze,14,10,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333,10,0,4
Keys_jangling,9,6,0.6666666666666666,1.0,0.6666666666666666,0.8,6,0,3
Squeak,3,2,0.6666666666666666,1.0,0.6666666666666666,0.8,2,0,1
Female_speech_and_woman_speaking,3,2,0.6666666666666666,1.0,0.6666666666666666,0.8,2,0,1
Tap,5,3,0.6,0.75,0.6,0.6666666666666665,3,1,2
Yell,2,1,0.5,0.5,0.5,0.5,1,1,1
Accelerating_and_revving_and_vroom,2,1,0.5,0.3333333333333333,0.5,0.4,1,2,1
Trickle_and_dribble,4,2,0.5,0.5,0.5,0.5,2,2,2
Slam,4,2,0.5,1.0,0.5,0.6666666666666666,2,0,2
Acoustic_guitar,1,0,0.0,0.0,0.0,0.0,0,0,1
Drip,1,0,0.0,0.0,0.0,0.0,0,0,1
