Class,Accuracy_mobilenet,Accuracy_linearsvc,Improvement
Crowd,1.0,0.0,100.0
Acoustic_guitar,1.0,0.0,100.0
Squeak,1.0,0.0,100.0
Cutlery_and_silverware,1.0,0.0,100.0
Walk_and_footsteps,0.6666666666666666,0.0,66.66666666666666
Screaming,1.0,0.4,60.0
Marimba_and_xylophone,1.0,0.4,60.0
Tick-tock,1.0,0.4285714285714285,57.14285714285715
Sigh,0.9333333333333333,0.3636363636363636,56.96969696969698
Male_speech_and_man_speaking,0.9523809523809523,0.4166666666666667,53.571428571428555
Hiss,0.6666666666666666,0.1333333333333333,53.333333333333336
Cricket,0.6666666666666666,0.1428571428571428,52.38095238095239
Female_singing,0.9285714285714286,0.4615384615384615,46.70329670329671
Female_speech_and_woman_speaking,1.0,0.5555555555555556,44.44444444444444
Chink_and_clink,0.8,0.375,42.50000000000001
Meow,0.75,0.3333333333333333,41.66666666666667
Shatter,0.7368421052631579,0.3333333333333333,40.35087719298245
Scissors,0.631578947368421,0.2666666666666666,36.49122807017544
Gasp,0.8,0.4444444444444444,35.555555555555564
Slam,0.7142857142857143,0.375,33.92857142857143
Chewing_and_mastication,0.5333333333333333,0.2,33.33333333333333
Buzz,0.625,0.3,32.5
Tap,0.7692307692307693,0.4615384615384615,30.769230769230777
Chirp_and_tweet,0.8181818181818182,0.5384615384615384,27.97202797202798
Computer_keyboard,0.5454545454545454,0.2666666666666666,27.878787878787882
Accelerating_and_revving_and_vroom,0.4444444444444444,0.1666666666666666,27.77777777777778
Printer,0.6666666666666666,0.4,26.66666666666666
Purr,0.6666666666666666,0.4,26.66666666666666
Frying_(food),0.9285714285714286,0.6666666666666666,26.190476190476197
Whispering,0.8666666666666667,0.6153846153846154,25.128205128205128
Waves_and_surf,0.5882352941176471,0.3571428571428571,23.109243697479
Zipper_(clothing),0.36363636363636365,0.1333333333333333,23.030303030303035
Stream,0.7857142857142857,0.5714285714285714,21.42857142857143
Harmonica,0.9411764705882353,0.7333333333333333,20.7843137254902
Clapping,1.0,0.8,19.999999999999996
Drawer_open_or_close,0.7222222222222222,0.5384615384615384,18.37606837606838
Church_bell,0.8333333333333334,0.6666666666666666,16.666666666666675
Run,0.5384615384615384,0.3846153846153846,15.384615384615385
Male_singing,1.0,0.8461538461538461,15.384615384615385
Bathtub_(filling_or_washing),0.3333333333333333,0.1818181818181818,15.151515151515152
Writing,0.6153846153846154,0.4666666666666667,14.871794871794874
Bass_drum,1.0,0.8571428571428571,14.28571428571429
Fart,0.8666666666666667,0.7333333333333333,13.333333333333341
Child_speech_and_kid_speaking,1.0,0.8666666666666667,13.33333333333333
Gurgling,0.7222222222222222,0.6,12.222222222222223
Cupboard_open_or_close,0.8888888888888888,0.7692307692307693,11.965811965811957
Bass_guitar,0.9375,0.8461538461538461,9.134615384615385
Glockenspiel,1.0,0.9090909090909092,9.090909090909083
Crackle,0.75,0.6666666666666666,8.333333333333337
Motorcycle,0.6666666666666666,0.5833333333333334,8.333333333333325
Accordion,0.8461538461538461,0.7777777777777778,6.8376068376068355
Mechanical_fan,0.75,0.7,5.000000000000004
Bus,0.75,0.7142857142857143,3.57142857142857
Fill_(with_liquid),0.4,0.375,2.500000000000002
Electric_guitar,0.9230769230769231,0.9,2.3076923076923106
Keys_jangling,0.75,0.7333333333333333,1.6666666666666718
Sneeze,0.75,0.75,0.0
Skateboard,0.8,0.8,0.0
Finger_snapping,1.0,1.0,0.0
Drip,0.0,0.0,0.0
Knock,0.9230769230769231,0.9285714285714286,-0.5494505494505475
Race_car_and_auto_racing,0.375,0.4,-2.500000000000002
Yell,0.5714285714285714,0.6,-2.857142857142858
Bicycle_bell,0.8,0.8461538461538461,-4.61538461538461
Microwave_oven,0.5833333333333334,0.6428571428571429,-5.952380952380953
Bark,0.7857142857142857,0.8571428571428571,-7.14285714285714
Hi-hat,0.8571428571428571,0.9285714285714286,-7.142857142857151
Burping_and_eructation,0.7142857142857143,0.8,-8.571428571428575
Gong,0.75,0.8666666666666667,-11.66666666666667
Car_passing_by,0.4666666666666667,0.6666666666666666,-19.999999999999996
Toilet_flush,0.5454545454545454,0.7692307692307693,-22.377622377622387
Traffic_noise_and_roadway_noise,0.25,0.5454545454545454,-29.54545454545454
Raindrop,0.14285714285714285,0.5,-35.714285714285715
Trickle_and_dribble,0.0,1.0,-100.0
