Class,Accuracy_vggish,Accuracy_linearsvc,Accuracy_mobilenet,Improvement_vs_LinearSVC,Improvement_vs_MobileNet
Harmonica,1.0,0.7333333333333333,0.9411764705882352,26.66666666666667,5.882352941176483
Male_speech_and_man_speaking,1.0,0.4166666666666667,0.9523809523809524,58.33333333333333,4.761904761904756
Female_singing,1.0,0.4615384615384615,0.9285714285714286,53.846153846153854,7.14285714285714
Frying_(food),1.0,0.6666666666666666,0.9285714285714286,33.333333333333336,7.14285714285714
Glockenspiel,1.0,0.9090909090909092,1.0,9.090909090909083,0.0
Gurgling,1.0,0.6,0.7222222222222222,40.0,27.77777777777778
Accordion,1.0,0.7777777777777778,0.8461538461538461,22.22222222222222,15.384615384615385
Hi-hat,1.0,0.9285714285714286,0.8571428571428571,7.14285714285714,14.28571428571429
Hiss,1.0,0.1333333333333333,0.6666666666666666,86.66666666666667,33.333333333333336
Knock,1.0,0.9285714285714286,0.9230769230769232,7.14285714285714,7.692307692307676
Male_singing,1.0,0.8461538461538461,1.0,15.384615384615385,0.0
Marimba_and_xylophone,1.0,0.4,1.0,60.0,0.0
Electric_guitar,1.0,0.9,0.9230769230769232,9.999999999999998,7.692307692307676
Purr,1.0,0.4,0.6666666666666666,60.0,33.333333333333336
Race_car_and_auto_racing,1.0,0.4,0.375,60.0,62.5
Run,1.0,0.3846153846153846,0.5384615384615384,61.53846153846154,46.15384615384615
Screaming,1.0,0.4,1.0,60.0,0.0
Sigh,1.0,0.3636363636363636,0.9333333333333332,63.63636363636365,6.666666666666677
Skateboard,1.0,0.8,0.8,19.999999999999996,19.999999999999996
Toilet_flush,1.0,0.7692307692307693,0.5454545454545454,23.076923076923073,45.45454545454546
Traffic_noise_and_roadway_noise,1.0,0.5454545454545454,0.25,45.45454545454546,75.0
Whispering,1.0,0.6153846153846154,0.8666666666666667,38.46153846153846,13.33333333333333
Fart,1.0,0.7333333333333333,0.8666666666666667,26.66666666666667,13.33333333333333
Zipper_(clothing),1.0,0.1333333333333333,0.3636363636363636,86.66666666666667,63.63636363636365
Chirp_and_tweet,1.0,0.5384615384615384,0.8181818181818182,46.15384615384615,18.181818181818176
Clapping,1.0,0.8,1.0,19.999999999999996,0.0
Drawer_open_or_close,1.0,0.5384615384615384,0.7222222222222222,46.15384615384615,27.77777777777778
Child_speech_and_kid_speaking,1.0,0.8666666666666667,1.0,13.33333333333333,0.0
Chink_and_clink,1.0,0.375,0.8,62.5,19.999999999999996
Bass_guitar,1.0,0.8461538461538461,0.9375,15.384615384615385,6.25
Burping_and_eructation,1.0,0.8,0.7142857142857143,19.999999999999996,28.57142857142857
Church_bell,1.0,0.6666666666666666,0.8333333333333334,33.333333333333336,16.666666666666664
Bicycle_bell,1.0,0.8461538461538461,0.8,15.384615384615385,19.999999999999996
Cricket,1.0,0.1428571428571428,0.6666666666666666,85.71428571428572,33.333333333333336
Bass_drum,1.0,0.8571428571428571,1.0,14.28571428571429,0.0
Bark,1.0,0.8571428571428571,0.7857142857142857,14.28571428571429,21.42857142857143
Cupboard_open_or_close,1.0,0.7692307692307693,0.8888888888888888,23.076923076923073,11.111111111111116
Computer_keyboard,0.9444444444444444,0.2666666666666666,0.5454545454545454,67.77777777777779,39.8989898989899
Waves_and_surf,0.9,0.3571428571428571,0.5882352941176471,54.28571428571429,31.176470588235293
Printer,0.8888888888888888,0.4,0.6666666666666666,48.88888888888888,22.22222222222222
Crackle,0.8888888888888888,0.6666666666666666,0.75,22.22222222222222,13.888888888888884
Buzz,0.875,0.3,0.625,57.49999999999999,25.0
Motorcycle,0.875,0.5833333333333334,0.6666666666666666,29.166666666666664,20.833333333333336
Mechanical_fan,0.875,0.7,0.75,17.500000000000004,12.5
Gong,0.8571428571428571,0.8666666666666667,0.75,-0.9523809523809601,10.71428571428571
Shatter,0.8571428571428571,0.3333333333333333,0.7368421052631579,52.38095238095237,12.030075187969924
Writing,0.8571428571428571,0.4666666666666667,0.6153846153846154,39.047619047619044,24.175824175824168
