Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
DummyClassifier,0.01756440281030445,0.013513513513513514,0.0006063660348781742,0.007875919342041016,Success
BernoulliNB,0.0468384074941452,0.038284238284238284,0.021222532613885372,0.3242809772491455,Success
GaussianNB,0.19789227166276346,0.18506013506013508,0.16683120965802506,0.9722857475280762,Success
NearestCentroid,0.19672131147540983,0.1856144606144606,0.18088284267089358,0.1626746654510498,Success
Perceptron,0.3161592505854801,0.2760728385728386,0.289255725277886,14.281227588653564,Success
LogisticRegression,0.531615925058548,0.49175089175089165,0.51610429873233,85.6807382106781,Success
RidgeClassifier,0.49063231850117095,0.44134165384165386,0.45817540376672455,0.7397704124450684,Success
RidgeClassifierCV,0.4601873536299766,0.4122320997320997,0.41971349907189,20.688138961791992,Success
PassiveAggressiveClassifier,0.36065573770491804,0.3238787113787114,0.34845894732265886,24.905688524246216,Success
SGDClassifier,0.36065573770491804,0.32889985389985393,0.34604837812617706,39.168801069259644,Success
LinearDiscriminantAnalysis,0.24824355971896955,0.22834714084714083,0.2559465752747319,22.571555852890015,Success
LinearSVC,0.5655737704918032,0.5278144903144902,0.5505020141854093,136.93795537948608,Success
QuadraticDiscriminantAnalysis,0.03864168618266979,0.0416052041052041,0.03638197513514083,2.6687090396881104,Success
DecisionTreeClassifier,0.24824355971896955,0.22636552636552637,0.25153856124744817,30.788753271102905,Success
ExtraTreeClassifier,0.22950819672131148,0.20909514659514658,0.22625534324407265,0.08490753173828125,Success
KNeighborsClassifier,0.39227166276346603,0.35625973125973126,0.3849921074780628,0.33698105812072754,Success
RandomForestClassifier,0.47892271662763464,0.4368668493668494,0.4639180890591676,4.310712814331055,Success
ExtraTreesClassifier,0.477751756440281,0.4412368037368038,0.462958092277743,1.0682506561279297,Success
AdaBoostClassifier,0.06791569086651054,0.05752400752400753,0.032685378167133274,84.59392786026001,Success
BaggingClassifier,0.38992974238875877,0.3591566466566467,0.3768352371808151,30.29310417175293,Success
GradientBoostingClassifier,,,,900.0,Timeout
CalibratedClassifierCV,0.5597189695550351,0.5189132189132191,0.5390633524232742,349.80136704444885,Success
