Class,Total_Samples,Accuracy_svc,Accuracy_mobilenet,Accuracy_vggish_tab,Accuracy_deit
Accelerating_and_revving_and_vroom,6,16.66666666666666,44.44444444444444,50.0,12.309496104717251
Accordion,9,77.77777777777779,84.61538461538461,100.0,12.309496104717251
Acoustic_guitar,1,0.0,100.0,0.0,12.309496104717251
Bark,14,85.71428571428571,78.57142857142857,100.0,12.309496104717251
Bass_drum,14,85.71428571428571,100.0,100.0,12.309496104717251
Bass_guitar,13,84.61538461538461,93.75,100.0,12.309496104717251
Bathtub_(filling_or_washing),11,18.18181818181818,33.33333333333333,83.33333333333334,12.309496104717251
Bicycle_bell,13,84.61538461538461,80.0,100.0,12.309496104717251
Burping_and_eructation,15,80.0,71.42857142857143,100.0,12.309496104717251
Bus,14,71.42857142857143,75.0,80.0,12.309496104717251
Buzz,10,30.0,62.5,87.5,12.309496104717251
Car_passing_by,12,66.66666666666666,46.666666666666664,80.0,12.309496104717251
Chewing_and_mastication,15,20.0,53.333333333333336,84.61538461538461,12.309496104717251
Child_speech_and_kid_speaking,15,86.66666666666667,100.0,100.0,12.309496104717251
Chink_and_clink,8,37.5,80.0,100.0,12.309496104717251
Chirp_and_tweet,13,53.84615384615385,81.81818181818183,100.0,12.309496104717251
Church_bell,15,66.66666666666666,83.33333333333334,100.0,12.309496104717251
Clapping,10,80.0,100.0,100.0,12.309496104717251
Computer_keyboard,15,26.66666666666666,54.54545454545454,94.44444444444444,12.309496104717251
Crackle,15,66.66666666666666,75.0,88.88888888888889,12.309496104717251
Cricket,14,14.28571428571428,66.66666666666666,100.0,12.309496104717251
Crowd,1,0.0,100.0,0.0,12.309496104717251
Cupboard_open_or_close,13,76.92307692307693,88.88888888888889,100.0,12.309496104717251
Cutlery_and_silverware,7,0.0,100.0,0.0,12.309496104717251
Drawer_open_or_close,13,53.84615384615385,72.22222222222221,100.0,12.309496104717251
Drip,1,0.0,0.0,0.0,12.309496104717251
Electric_guitar,10,90.0,92.30769230769232,100.0,12.309496104717251
Fart,15,73.33333333333333,86.66666666666667,100.0,12.309496104717251
Female_singing,13,46.15384615384615,92.85714285714286,100.0,12.309496104717251
Female_speech_and_woman_speaking,9,55.55555555555556,100.0,66.66666666666666,12.309496104717251
Fill_(with_liquid),8,37.5,40.0,77.77777777777779,12.309496104717251
Finger_snapping,15,100.0,100.0,80.0,12.309496104717251
Frying_(food),12,66.66666666666666,92.85714285714286,100.0,12.309496104717251
Gasp,9,44.44444444444444,80.0,75.0,12.309496104717251
Glockenspiel,11,90.90909090909092,100.0,100.0,12.309496104717251
Gong,15,86.66666666666667,75.0,85.71428571428571,12.309496104717251
Gurgling,10,60.0,72.22222222222221,100.0,12.309496104717251
Harmonica,15,73.33333333333333,94.11764705882352,100.0,12.309496104717251
Hi-hat,14,92.85714285714286,85.71428571428571,100.0,12.309496104717251
Hiss,15,13.33333333333333,66.66666666666666,100.0,12.309496104717251
Keys_jangling,15,73.33333333333333,75.0,66.66666666666666,12.309496104717251
Knock,14,92.85714285714286,92.30769230769232,100.0,12.309496104717251
Male_singing,13,84.61538461538461,100.0,100.0,12.309496104717251
Male_speech_and_man_speaking,12,41.66666666666667,95.23809523809524,100.0,12.309496104717251
Marimba_and_xylophone,15,40.0,100.0,100.0,12.309496104717251
Mechanical_fan,10,70.0,75.0,87.5,12.309496104717251
Meow,12,33.33333333333333,75.0,75.0,12.309496104717251
Microwave_oven,14,64.28571428571429,58.333333333333336,83.33333333333334,12.309496104717251
Motorcycle,12,58.333333333333336,66.66666666666666,87.5,12.309496104717251
Printer,15,40.0,66.66666666666666,88.88888888888889,12.309496104717251
Purr,10,40.0,66.66666666666666,100.0,12.309496104717251
Race_car_and_auto_racing,5,40.0,37.5,100.0,12.309496104717251
Raindrop,4,50.0,14.28571428571428,0.0,12.309496104717251
Run,13,38.46153846153846,53.84615384615385,100.0,12.309496104717251
Scissors,15,26.66666666666666,63.1578947368421,81.81818181818183,12.309496104717251
Screaming,10,40.0,100.0,100.0,12.309496104717251
Shatter,15,33.33333333333333,73.68421052631578,85.71428571428571,12.309496104717251
Sigh,11,36.36363636363636,93.33333333333333,100.0,12.309496104717251
Skateboard,15,80.0,80.0,100.0,12.309496104717251
Slam,8,37.5,71.42857142857143,50.0,12.309496104717251
Sneeze,12,75.0,75.0,71.42857142857143,12.309496104717251
Squeak,4,0.0,100.0,66.66666666666666,12.309496104717251
Stream,14,57.14285714285714,78.57142857142857,80.0,12.309496104717251
Tap,13,46.15384615384615,76.92307692307693,60.0,12.309496104717251
Tick-tock,14,42.85714285714285,100.0,83.33333333333334,12.309496104717251
Toilet_flush,13,76.92307692307693,54.54545454545454,100.0,12.309496104717251
Traffic_noise_and_roadway_noise,11,54.54545454545454,25.0,100.0,12.309496104717251
Trickle_and_dribble,7,100.0,0.0,50.0,12.309496104717251
Walk_and_footsteps,8,0.0,66.66666666666666,80.0,12.309496104717251
Waves_and_surf,14,35.71428571428571,58.82352941176471,90.0,12.309496104717251
Whispering,13,61.53846153846154,86.66666666666667,100.0,12.309496104717251
Writing,15,46.666666666666664,61.53846153846154,85.71428571428571,12.309496104717251
Yell,5,60.0,57.14285714285714,50.0,12.309496104717251
Zipper_(clothing),15,13.33333333333333,36.36363636363636,100.0,12.309496104717251
