accuracy_multi,epoch,learning_rate,lwlrap,model,pretrained,time,train_loss,training_phase,valid_loss
,0,1e-1,0.080807,resnet18,No,00:07,0.257204,1,0.092621
,1,1e-1,0.113652,resnet18,No,00:06,0.125856,1,0.098057
,2,1e-1,0.167518,resnet18,No,00:07,0.092281,1,0.088215
,3,1e-1,0.237748,resnet18,No,00:06,0.077910,1,0.073455
,4,1e-1,0.290014,resnet18,No,00:06,0.069874,1,0.067782
,0,1e-1,0.301837,resnet18,No,00:06,0.065608,1,0.064218
,1,1e-1,0.288753,resnet18,No,00:08,0.065135,1,0.064631
,2,1e-1,0.314039,resnet18,No,00:08,0.064070,1,0.064463
,3,1e-1,0.343956,resnet18,No,00:11,0.063191,1,0.059353
,4,1e-1,0.313999,resnet18,No,00:09,0.060965,1,0.062565
,5,1e-1,0.368789,resnet18,No,00:07,0.058655,1,0.057112
,6,1e-1,0.423793,resnet18,No,00:07,0.056809,1,0.054509
,7,1e-1,0.454253,resnet18,No,00:07,0.054774,1,0.052309
,8,1e-1,0.456826,resnet18,No,00:07,0.053718,1,0.051938
,9,1e-1,0.467086,resnet18,No,00:07,0.053170,1,0.052388
,0,3e-3,0.470720,resnet18,No,00:07,0.051991,2,0.051631
,1,3e-3,0.443764,resnet18,No,00:07,0.052161,2,0.053330
,2,3e-3,0.464560,resnet18,No,00:07,0.052060,2,0.051735
,3,3e-3,0.466942,resnet18,No,00:07,0.052109,2,0.052666
,4,3e-3,0.490339,resnet18,No,00:07,0.051975,2,0.049786
,5,3e-3,0.481335,resnet18,No,00:07,0.051208,2,0.049408
,6,3e-3,0.485607,resnet18,No,00:07,0.050216,2,0.050489
,7,3e-3,0.510845,resnet18,No,00:07,0.049348,2,0.051459
,8,3e-3,0.494911,resnet18,No,00:07,0.048190,2,0.052376
,9,3e-3,0.503337,resnet18,No,00:07,0.047023,2,0.051461
,10,3e-3,0.525982,resnet18,No,00:07,0.046170,2,0.052503
,11,3e-3,0.557443,resnet18,No,00:07,0.045299,2,0.046289
,12,3e-3,0.562569,resnet18,No,00:07,0.044451,2,0.045081
,13,3e-3,0.565881,resnet18,No,00:07,0.043477,2,0.043965
,14,3e-3,0.567302,resnet18,No,00:07,0.041951,2,0.045412
,15,3e-3,0.585636,resnet18,No,00:07,0.041494,2,0.044222
,16,3e-3,0.597115,resnet18,No,00:07,0.040950,2,0.042559
,17,3e-3,0.593921,resnet18,No,00:07,0.040773,2,0.045432
,18,3e-3,0.599794,resnet18,No,00:07,0.040365,2,0.042965
,19,3e-3,0.600605,resnet18,No,00:07,0.040037,2,0.042186
,0,1e-3,0.608249,resnet18,No,00:07,0.040064,3,0.041995
,1,1e-3,0.588846,resnet18,No,00:06,0.040419,3,0.045252
,2,1e-3,0.599714,resnet18,No,00:07,0.040690,3,0.043076
,3,1e-3,0.597180,resnet18,No,00:08,0.040872,3,0.045541
,4,1e-3,0.589830,resnet18,No,00:07,0.039834,3,0.044372
,5,1e-3,0.588977,resnet18,No,00:08,0.039737,3,0.042361
,6,1e-3,0.586345,resnet18,No,00:08,0.039252,3,0.046235
,7,1e-3,0.604621,resnet18,No,00:07,0.038953,3,0.042371
,8,1e-3,0.602699,resnet18,No,00:08,0.038739,3,0.041712
,9,1e-3,0.623241,resnet18,No,00:07,0.037773,3,0.040401
,10,1e-3,0.625458,resnet18,No,00:08,0.037712,3,0.040009
,11,1e-3,0.631934,resnet18,No,00:07,0.036801,3,0.039624
,12,1e-3,0.628655,resnet18,No,00:07,0.036284,3,0.039655
,13,1e-3,0.638321,resnet18,No,00:07,0.035780,3,0.038500
,14,1e-3,0.637939,resnet18,No,00:09,0.035229,3,0.039236
,15,1e-3,0.647516,resnet18,No,00:10,0.034858,3,0.038324
,16,1e-3,0.637506,resnet18,No,00:06,0.034422,3,0.038805
,17,1e-3,0.649028,resnet18,No,00:06,0.034134,3,0.038268
,18,1e-3,0.658722,resnet18,No,00:06,0.034393,3,0.037911
,19,1e-3,0.636252,resnet18,No,00:06,0.034320,3,0.038959
,0,"slice(1e-3, 3e-3",0.646734,resnet18,No,00:06,0.034173,4,0.038106
,1,"slice(1e-3, 3e-3",0.644416,resnet18,No,00:06,0.033807,4,0.038358
,2,"slice(1e-3, 3e-3",0.639638,resnet18,No,00:06,0.033950,4,0.038826
,3,"slice(1e-3, 3e-3",0.640181,resnet18,No,00:06,0.033963,4,0.038318
,4,"slice(1e-3, 3e-3",0.650936,resnet18,No,00:06,0.034095,4,0.038343
,5,"slice(1e-3, 3e-3",0.650174,resnet18,No,00:07,0.034570,4,0.038738
,6,"slice(1e-3, 3e-3",0.642490,resnet18,No,00:06,0.034619,4,0.038718
