Class,Total_Samples,Correct,Incorrect,Accuracy,Precision,Recall,F1_Score,model
Bark,10,10,0,1.0,0.9090909090909091,1.0,0.9523809523809523,"2_layers_[200, 100]"
Hi-hat,6,6,0,1.0,1.0,1.0,1.0,"2_layers_[200, 100]"
Accordion,5,5,0,1.0,1.0,1.0,1.0,"2_layers_[200, 100]"
Toilet_flush,13,13,0,1.0,0.8666666666666667,1.0,0.9285714285714286,"2_layers_[200, 100]"
Bass_guitar,12,11,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,"2_layers_[200, 100]"
Gong,10,9,1,0.9,0.75,0.9,0.8181818181818182,"2_layers_[200, 100]"
Female_singing,10,9,1,0.9,0.75,0.9,0.8181818181818182,"2_layers_[200, 100]"
Drawer_open_or_close,10,9,1,0.9,0.8181818181818182,0.9,0.8571428571428572,"2_layers_[200, 100]"
Skateboard,7,6,1,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,"2_layers_[200, 100]"
Male_singing,7,6,1,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75,"2_layers_[200, 100]"
Computer_keyboard,13,11,2,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,"2_layers_[200, 100]"
Harmonica,13,11,2,0.8461538461538461,0.9166666666666666,0.8461538461538461,0.8799999999999999,"2_layers_[200, 100]"
Frying_(food),12,10,2,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143,"2_layers_[200, 100]"
Bicycle_bell,12,10,2,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307692,"2_layers_[200, 100]"
Purr,10,8,2,0.8,0.7272727272727273,0.8,0.761904761904762,"2_layers_[200, 100]"
Chink_and_clink,5,4,1,0.8,0.5714285714285714,0.8,0.6666666666666666,"2_layers_[200, 100]"
Bass_drum,5,4,1,0.8,0.8,0.8,0.8000000000000002,"2_layers_[200, 100]"
Meow,5,4,1,0.8,0.5714285714285714,0.8,0.6666666666666666,"2_layers_[200, 100]"
Buzz,9,7,2,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001,"2_layers_[200, 100]"
Chirp_and_tweet,9,7,2,0.7777777777777778,0.5384615384615384,0.7777777777777778,0.6363636363636364,"2_layers_[200, 100]"
Female_speech_and_woman_speaking,4,3,1,0.75,0.75,0.75,0.75,"2_layers_[200, 100]"
Gasp,4,3,1,0.75,0.5,0.75,0.6,"2_layers_[200, 100]"
Car_passing_by,12,9,3,0.75,0.5,0.75,0.6,"2_layers_[200, 100]"
Shatter,8,6,2,0.75,0.5454545454545454,0.75,0.631578947368421,"2_layers_[200, 100]"
Church_bell,15,11,4,0.7333333333333333,0.6875,0.7333333333333333,0.7096774193548386,"2_layers_[200, 100]"
Glockenspiel,11,8,3,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.6956521739130435,"2_layers_[200, 100]"
Tick-tock,14,10,4,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666,"2_layers_[200, 100]"
Sigh,7,5,2,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333,"2_layers_[200, 100]"
Waves_and_surf,14,10,4,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.689655172413793,"2_layers_[200, 100]"
Stream,14,10,4,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666,"2_layers_[200, 100]"
Printer,9,6,3,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,"2_layers_[200, 100]"
Knock,9,6,3,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.5454545454545455,"2_layers_[200, 100]"
Fart,6,4,2,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,"2_layers_[200, 100]"
