Class,Total_Samples,Correct,Incorrect,Accuracy,Precision,Recall,F1_Score
Harmonica,13,13,0,1.0,0.9285714285714286,1.0,0.962962962962963
Bark,10,10,0,1.0,1.0,1.0,1.0
Hi-hat,6,6,0,1.0,1.0,1.0,1.0
Accordion,5,5,0,1.0,1.0,1.0,1.0
Skateboard,7,7,0,1.0,1.0,1.0,1.0
Toilet_flush,13,12,1,0.9230769230769231,0.8,0.9230769230769231,0.8571428571428571
Bicycle_bell,12,11,1,0.9166666666666666,0.7857142857142857,0.9166666666666666,0.8461538461538461
Gong,10,9,1,0.9,0.8181818181818182,0.9,0.8571428571428572
Female_singing,10,9,1,0.9,0.6923076923076923,0.9,0.7826086956521738
Male_singing,7,6,1,0.8571428571428571,0.6,0.8571428571428571,0.7058823529411764
Sigh,7,6,1,0.8571428571428571,0.75,0.8571428571428571,0.7999999999999999
Computer_keyboard,13,11,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Frying_(food),12,10,2,0.8333333333333334,0.5555555555555556,0.8333333333333334,0.6666666666666667
Gurgling,6,5,1,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
Bass_guitar,12,10,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
Glockenspiel,11,9,2,0.8181818181818182,0.6923076923076923,0.8181818181818182,0.7500000000000001
Purr,10,8,2,0.8,0.8888888888888888,0.8,0.8421052631578948
Chink_and_clink,5,4,1,0.8,0.8,0.8,0.8000000000000002
Chirp_and_tweet,9,7,2,0.7777777777777778,0.4375,0.7777777777777778,0.56
Knock,9,7,2,0.7777777777777778,0.4666666666666667,0.7777777777777778,0.5833333333333334
Gasp,4,3,1,0.75,0.5,0.75,0.6
Finger_snapping,4,3,1,0.75,1.0,0.75,0.8571428571428571
Female_speech_and_woman_speaking,4,3,1,0.75,0.75,0.75,0.75
Car_passing_by,12,9,3,0.75,0.6428571428571429,0.75,0.6923076923076924
Shatter,8,6,2,0.75,0.6666666666666666,0.75,0.7058823529411765
Church_bell,15,11,4,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
Stream,14,10,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
Tick-tock,14,10,4,0.7142857142857143,0.5555555555555556,0.7142857142857143,0.6250000000000001
Drawer_open_or_close,10,7,3,0.7,0.7,0.7,0.7
Buzz,9,6,3,0.6666666666666666,0.75,0.6666666666666666,0.7058823529411765
Waves_and_surf,14,9,5,0.6428571428571429,0.8181818181818182,0.6428571428571429,0.7200000000000001
Bus,14,9,5,0.6428571428571429,0.75,0.6428571428571429,0.6923076923076924
Bathtub_(filling_or_washing),11,7,4,0.6363636363636364,0.7,0.6363636363636364,0.6666666666666666
Writing,11,7,4,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Meow,5,3,2,0.6,0.6,0.6,0.6
Race_car_and_auto_racing,5,3,2,0.6,0.75,0.6,0.6666666666666665
Burping_and_eructation,5,3,2,0.6,1.0,0.6,0.7499999999999999
