Class,Total_Samples,Accuracy_Solo,Accuracy_Tab,Improvement,Improvement_Pct,improvement_range,sample_range
Cupboard_open_or_close,4,0.25,1.0,0.75,75.0,50%+,1-4
Child_speech_and_kid_speaking,3,0.3333333333333333,1.0,0.6666666666666667,66.66666666666667,50%+,1-4
Electric_guitar,6,0.3333333333333333,1.0,0.6666666666666667,66.66666666666667,50%+,5-9
Screaming,6,0.3333333333333333,1.0,0.6666666666666667,66.66666666666667,50%+,5-9
Clapping,3,0.3333333333333333,1.0,0.6666666666666667,66.66666666666667,50%+,1-4
Squeak,3,0.0,0.6666666666666666,0.6666666666666666,66.66666666666666,50%+,1-4
Marimba_and_xylophone,8,0.375,1.0,0.625,62.5,50%+,5-9
Microwave_oven,9,0.2222222222222222,0.8333333333333334,0.6111111111111112,61.111111111111114,50%+,5-9
Tap,4,0.0,0.6,0.6,60.0,50%+,1-4
Cricket,12,0.4166666666666667,1.0,0.5833333333333333,58.33333333333333,50%+,10-14
Whispering,7,0.4285714285714285,1.0,0.5714285714285715,57.14285714285715,50%+,5-9
Chewing_and_mastication,13,0.3076923076923077,0.8461538461538461,0.5384615384615384,53.84615384615385,50%+,10-14
Yell,3,0.0,0.5,0.5,50.0,40-50%,1-4
Slam,4,0.0,0.5,0.5,50.0,40-50%,1-4
Mechanical_fan,10,0.4,0.875,0.475,47.5,40-50%,5-9
Walk_and_footsteps,6,0.3333333333333333,0.8,0.46666666666666673,46.66666666666667,40-50%,5-9
Sneeze,8,0.25,0.7142857142857143,0.4642857142857143,46.42857142857143,40-50%,5-9
Scissors,11,0.3636363636363636,0.8181818181818182,0.45454545454545464,45.45454545454547,40-50%,10-14
Hiss,12,0.5833333333333334,1.0,0.41666666666666663,41.666666666666664,40-50%,10-14
Writing,11,0.4545454545454545,0.8571428571428571,0.4025974025974026,40.25974025974026,40-50%,10-14
Bass_drum,5,0.6,1.0,0.4,40.0,30-40%,1-4
Burping_and_eructation,5,0.6,1.0,0.4,40.0,30-40%,1-4
Male_speech_and_man_speaking,5,0.6,1.0,0.4,40.0,30-40%,1-4
Race_car_and_auto_racing,5,0.6,1.0,0.4,40.0,30-40%,1-4
Motorcycle,12,0.5,0.875,0.375,37.5,30-40%,10-14
Traffic_noise_and_roadway_noise,11,0.6363636363636364,1.0,0.36363636363636365,36.36363636363637,30-40%,10-14
Run,12,0.6666666666666666,1.0,0.33333333333333337,33.333333333333336,30-40%,10-14
Fart,6,0.6666666666666666,1.0,0.33333333333333337,33.333333333333336,30-40%,5-9
Gurgling,6,0.6666666666666666,1.0,0.33333333333333337,33.333333333333336,30-40%,5-9
Knock,9,0.6666666666666666,1.0,0.33333333333333337,33.333333333333336,30-40%,5-9
Printer,9,0.5555555555555556,0.8888888888888888,0.33333333333333326,33.33333333333333,30-40%,5-9
Crackle,12,0.5833333333333334,0.8888888888888888,0.30555555555555547,30.555555555555546,30-40%,10-14
Finger_snapping,4,0.5,0.8,0.30000000000000004,30.000000000000004,30-40%,1-4
Sigh,7,0.7142857142857143,1.0,0.2857142857142857,28.57142857142857,20-30%,5-9
Church_bell,15,0.7333333333333333,1.0,0.2666666666666667,26.66666666666667,20-30%,10-14
Waves_and_surf,14,0.6428571428571429,0.9,0.2571428571428571,25.71428571428571,20-30%,10-14
Frying_(food),12,0.75,1.0,0.25,25.0,20-30%,10-14
Buzz,9,0.6666666666666666,0.875,0.20833333333333337,20.833333333333336,20-30%,5-9
Chink_and_clink,5,0.8,1.0,0.19999999999999996,19.999999999999996,10-20%,1-4
Purr,10,0.8,1.0,0.19999999999999996,19.999999999999996,10-20%,5-9
Accordion,5,0.8,1.0,0.19999999999999996,19.999999999999996,10-20%,1-4
Zipper_(clothing),11,0.8181818181818182,1.0,0.18181818181818177,18.181818181818176,10-20%,10-14
Glockenspiel,11,0.8181818181818182,1.0,0.18181818181818177,18.181818181818176,10-20%,10-14
Accelerating_and_revving_and_vroom,6,0.3333333333333333,0.5,0.16666666666666669,16.666666666666668,10-20%,5-9
Keys_jangling,10,0.5,0.6666666666666666,0.16666666666666663,16.666666666666664,10-20%,5-9
Bicycle_bell,12,0.8333333333333334,1.0,0.16666666666666663,16.666666666666664,10-20%,10-14
Bus,14,0.6428571428571429,0.8,0.15714285714285714,15.714285714285714,10-20%,10-14
Fill_(with_liquid),8,0.625,0.7777777777777778,0.1527777777777778,15.277777777777779,10-20%,5-9
Meow,5,0.6,0.75,0.15000000000000002,15.000000000000002,10-20%,1-4
Male_singing,7,0.8571428571428571,1.0,0.1428571428571429,14.28571428571429,10-20%,5-9
Chirp_and_tweet,9,0.8888888888888888,1.0,0.11111111111111116,11.111111111111116,10-20%,5-9
Shatter,8,0.75,0.8571428571428571,0.1071428571428571,10.71428571428571,10-20%,5-9
Bathtub_(filling_or_washing),11,0.7272727272727273,0.8333333333333334,0.10606060606060608,10.606060606060607,10-20%,10-14
Female_singing,10,0.9,1.0,0.09999999999999998,9.999999999999998,0-10%,5-9
Computer_keyboard,13,0.8461538461538461,0.9444444444444444,0.09829059829059827,9.829059829059828,0-10%,10-14
Bass_guitar,12,0.9166666666666666,1.0,0.08333333333333337,8.333333333333337,0-10%,10-14
Toilet_flush,13,0.9230769230769232,1.0,0.07692307692307676,7.692307692307676,0-10%,10-14
Harmonica,13,0.9230769230769232,1.0,0.07692307692307676,7.692307692307676,0-10%,10-14
Car_passing_by,12,0.75,0.8,0.050000000000000044,5.000000000000004,0-10%,10-14
Tick-tock,14,0.7857142857142857,0.8333333333333334,0.04761904761904767,4.761904761904767,0-10%,10-14
Stream,14,0.7857142857142857,0.8,0.014285714285714346,1.4285714285714346,0-10%,10-14
Cutlery_and_silverware,2,0.0,0.0,0.0,0.0,No change,1-4
Drawer_open_or_close,10,1.0,1.0,0.0,0.0,No change,5-9
Drip,1,0.0,0.0,0.0,0.0,No change,1-4
Raindrop,1,0.0,0.0,0.0,0.0,No change,1-4
Bark,10,1.0,1.0,0.0,0.0,No change,5-9
Acoustic_guitar,1,0.0,0.0,0.0,0.0,No change,1-4
Gasp,4,0.75,0.75,0.0,0.0,No change,1-4
Skateboard,7,1.0,1.0,0.0,0.0,No change,5-9
Hi-hat,6,1.0,1.0,0.0,0.0,No change,5-9
Gong,10,0.9,0.8571428571428571,-0.04285714285714293,-4.285714285714293,No change,5-9
Trickle_and_dribble,5,0.6,0.5,-0.09999999999999998,-9.999999999999998,No change,1-4
Female_speech_and_woman_speaking,4,1.0,0.6666666666666666,-0.33333333333333337,-33.333333333333336,Worse,1-4
Crowd,1,1.0,0.0,-1.0,-100.0,,1-4
